,0,1
0,0.0,3.704428245120595e-10
1,500050.0049824606,2.578687968846854e-10
2,1000100.0099649212,5.262784135915646e-11
3,1500150.0149473844,4.6265385622856174e-11
4,2000200.0199298423,4.667368079394524e-11
5,2500250.024912309,5.478050837096837e-11
6,3000300.0298947687,5.0130054352322594e-11
7,3500350.03487723,4.622592818260891e-11
8,4000400.0398596846,5.04928429015444e-11
9,4500450.044842153,4.92946132478322e-11
10,5000500.049824618,4.526561013064707e-11
11,5500550.05480707,4.476048358274506e-11
12,6000600.059789537,4.726169470750419e-11
13,6500650.064772004,4.383850753306122e-11
14,7000700.06975446,4.263334946915271e-11
15,7500750.074736914,4.615543507348188e-11
16,8000800.079719369,4.8772815970794696e-11
17,8500850.084701838,4.204404626284442e-11
18,9000900.089684306,3.7308617193534583e-11
19,9500950.094666773,3.745908383846783e-11
20,10001000.099649236,3.529671130915562e-11
21,10501050.104631677,3.93710033198171e-11
22,11001100.10961414,4.129559316908655e-11
23,11501150.114596607,3.8953295751615596e-11
24,12001200.119579075,3.4068602069015536e-11
25,12501250.124561539,4.093068370525794e-11
26,13001300.129544009,4.111784632343573e-11
27,13501350.134526456,3.749179545629398e-11
28,14001400.13950892,3.581671334179847e-11
29,14501450.144491386,3.516262145670611e-11
30,15001500.149473827,3.025627066731064e-11
31,15501550.154456291,2.972302547085838e-11
32,16001600.159438739,3.051708874185189e-11
33,16501650.164421208,3.165150237191355e-11
34,17001700.169403676,3.1810639581814375e-11
35,17501750.174386144,3.30153893619156e-11
36,18001800.17936861,3.235879426083509e-11
37,18501850.184351075,3.016184659494713e-11
38,19001900.189333547,3.07473083089941e-11
39,19501950.194316003,2.4951924554590183e-11
40,20002000.19929847,2.832430355503357e-11
41,20502050.204280883,2.843047220246419e-11
42,21002100.209263355,3.052629324191931e-11
43,21502150.21424582,3.076523361153018e-11
44,22002200.21922828,3.0725027696392286e-11
45,22502250.224210743,2.7076169066686516e-11
46,23002300.229193214,2.7841285760746167e-11
47,23502350.23417568,2.6394488514494707e-11
48,24002400.23915815,2.5678852820766216e-11
49,24502450.244140614,2.7979041651191387e-11
50,25002500.249123078,2.984145122251857e-11
51,25502550.254105546,2.916753097332687e-11
52,26002600.259088017,2.6641481855156303e-11
53,26502650.26407044,2.5183799938837978e-11
54,27002700.26905291,2.4857567316041488e-11
55,27502750.27403538,2.439165313306616e-11
56,28002800.27901784,2.5372191371398308e-11
57,28502850.28400031,2.6970499574002452e-11
58,29002900.28898277,3.126446148244343e-11
59,29502950.293965187,2.828347192195462e-11
60,30003000.298947655,2.5878406694266856e-11
61,30503050.303930126,2.5045126454773862e-11
62,31003100.308912583,2.4037433593579764e-11
63,31503150.31389505,2.6046854160623285e-11
64,32003200.318877477,2.2873688572940946e-11
65,32503250.32385995,2.4665741938014337e-11
66,33003300.328842416,2.563683709163963e-11
67,33503350.333824877,2.5298085999986794e-11
68,34003400.33880735,2.3680014063717426e-11
69,34503450.34378982,2.4876447381645195e-11
70,35003500.34877229,2.8252826752741856e-11
71,35503550.35375475,2.8005356635353124e-11
72,36003600.35873722,2.7923187145589885e-11
73,36503650.363719694,2.660126200274118e-11
74,37003700.36870215,2.3983308225277587e-11
75,37503750.37368462,2.3945771328841966e-11
76,38003800.378667094,2.288982096860926e-11
77,38503850.383649535,2.156321518161212e-11
78,39003900.38863201,2.2299168691717342e-11
79,39503950.39361447,2.1632482899019302e-11
80,40004000.39859694,2.424481992114603e-11
81,40504050.403579414,2.5717875355504838e-11
82,41004100.408561766,2.333317393283844e-11
83,41504150.41354424,2.3935515078415368e-11
84,42004200.41852671,2.6159728845752198e-11
85,42504250.423509166,2.5572501971169184e-11
86,43004300.42849164,2.52247245317613e-11
87,43504350.433474086,2.2880090624231894e-11
88,44004400.43845656,2.1615372085944556e-11
89,44504450.44343903,2.1749122018738503e-11
90,45004500.448421486,2.3619133649953717e-11
91,45504550.45340396,2.4305674185726034e-11
92,46004600.45838643,2.2697833241770507e-11
93,46504650.46336889,2.474499382157579e-11
94,47004700.46835136,2.3331587594013274e-11
95,47504750.47333383,2.4398660445568466e-11
96,48004800.4783163,2.3488719667148595e-11
97,48504850.483298756,2.348223739494813e-11
98,49004900.48828123,2.2103929849182453e-11
99,49504950.4932637,2.3023188918445233e-11
100,50005000.498246156,2.600769896860533e-11
101,50505050.50322862,2.254814427396256e-11
102,51005100.50821109,2.2988903823296876e-11
103,51505150.51319356,2.269102505541491e-11
104,52005200.518176034,2.5440653165132357e-11
105,52505250.523158506,2.266920042080924e-11
106,53005300.52814088,2.1101936961326657e-11
107,53505350.53312335,2.359020421620105e-11
108,54005400.53810582,2.3684223813348845e-11
109,54505450.54308829,2.49588227291403e-11
110,55005500.54807076,2.2406359269346178e-11
111,55505550.55305321,2.322874681346934e-11
112,56005600.55803568,2.338989382673653e-11
113,56505650.56301815,2.2926210773052917e-11
114,57005700.56800062,2.5111115596281182e-11
115,57505750.57298309,2.1895832088020736e-11
116,58005800.57796554,2.2461219024625854e-11
117,58505850.5829479,2.2336116084455125e-11
118,59005900.587930374,2.101765085801611e-11
119,59505950.592912845,2.3484281738191493e-11
120,60006000.59789531,2.2307931820722868e-11
121,60506050.60287778,2.0854958845092993e-11
122,61006100.60786025,2.2659319670689395e-11
123,61506150.612842694,2.5260223919062725e-11
124,62006200.617825165,2.30486583174779e-11
125,62506250.62280763,2.23721518664401e-11
126,63006300.6277901,2.1670013435663584e-11
127,63506350.63277257,1.877475180793101e-11
128,64006400.637754954,1.85014485903014e-11
129,64506450.642737426,2.1262618473684627e-11
130,65006500.6477199,2.1520692136995872e-11
131,65506550.65270237,2.1945134413673223e-11
132,66006600.65768483,2.2432334455574198e-11
133,66506650.662667304,2.308444455335336e-11
134,67006700.66764975,2.060039348240526e-11
135,67506750.67263223,2.1866070934040106e-11
136,68006800.6776147,2.1792424351606164e-11
137,68506850.68259718,2.177253338865841e-11
138,69006900.68757965,2.381604438679843e-11
139,69506950.6925621,2.1523758467914952e-11
140,70007000.69754457,2.2697433468400264e-11
